Amostra,Tratamento,especie,Grupo,individuo,N,P,Mg,K,Ca,Al_ppm ,area,peso
54,Campo,CB,B,1,1.555,0.0786,0.1601,0.507,0.5031,226,377.2528,5.5283
55,Campo,CB,B,2,1.319,0.0786,0.1423,0.472,0.2934,180.8,460.679,6.9337
56,Campo,CB,B,3,1.508,0.0786,0.1686,0.457,0.5694,155,344.2896,4.8214
57,Campo,DM,B,1,2.12,0.0643,0.096,0.349,0.1655,116.3,180.9061,1.9597
58,Campo,DM,B,2,2.261,0.0786,0.0795,0.495,0.1284,96.8,220.6021,2.5911
59,Campo,DM,B,3,2.403,0.0786,0.1044,0.441,0.2226,161.3,241.5666,2.4455
60,Campo,GN,D,1,2.968,0.1214,0.2074,1.272,0.3161,155,241.8505,3.1246
61,Campo,GN,D,2,3.298,0.1214,0.196,1.378,0.2727,142,161.3552,1.8648
62,Campo,GN,D,3,3.486,0.1571,0.1482,1.509,0.1692,116.3,261.735,3.6648
63,Campo,KC,D,1,1.508,0.0929,0.1179,0.813,0.2114,142,159.6732,2.5771
64,Campo,KC,D,2,1.225,0.0786,0.0898,0.728,0.1383,45.3,239.0111,5.0856
65,Campo,KC,D,3,1.225,0.0857,0.1248,0.825,0.4602,109.8,174.7919,3.2958
66,Campo,MP,S,1,1.036,0.0429,0.0629,0.363,0.2727,1653.8,127.2785,2.9338
67,Campo,MP,S,2,1.225,0.0429,0.0832,0.271,0.3327,2562.5,121.1578,2.5527
68,Campo,OH,S,1,1.555,0.0857,0.1471,1.077,0.6469,238.8,226.7518,3.285
69,Campo,OH,S,2,1.46,0.0857,0.1298,0.848,0.7478,161.3,175.33,2.3596
70,Campo,OH,S,3,1.319,0.0714,0.1476,0.674,0.6284,174.3,132.3739,1.8813
71,Campo,QG,D,1,1.319,0.0643,0.1125,0.401,0.4248,7172.5,148.672,2.4706
72,Campo,QG,D,2,1.131,0.0714,0.1026,0.33,0.3296,8870,192.3183,3.5056
73,Campo,QG,D,3,1.178,0.0714,0.1162,0.238,0.23,5567.5,191.1648,3.4074
74,Campo,QP,D,1,1.178,0.0714,0.063,0.477,0.277,5417.5,115.1553,1.49898
75,Campo,QP,D,2,1.366,0.0643,0.0628,0.456,0.1785,4132.5,205.2164,2.2684
76,Campo,QP,D,3,1.084,0.0786,0.0683,0.476,0.2381,5077.5,155.8061,1.707
77,Campo,SA,B,1,2.073,0.0643,0.0676,0.458,0.1052,96.8,283.9685,3.4515
78,Campo,SA,B,2,2.12,0.0571,0.0484,0.367,0.0725,148.5,252.9892,2.5842
81,Campo,SA,B,3,2.026,0.0643,0.064,0.433,0.2157,148.5,281.5607,3.1263
82,Campo,SM,S,1,0.848,0.0643,0.0722,0.385,0.1715,103.3,294.9284,9.335
83,Campo,SM,S,2,0.942,0.0714,0.0683,0.401,0.2266,96.8,294.7175,9.2509
84,Campo,SM,S,3,1.178,0.05,0.1075,0.752,0.2475,161.3,221.0112,6.4438
85,Campo,SP,S,1,1.272,0.05,0.0853,0.807,0.1267,129,162.6145,2.6491
86,Campo,SP,S,2,1.319,0.05,0.1125,0.695,0.4138,238.8,163.2732,2.7881
